"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"1151","South Yorkshire","2016","january",2016-01-01,1,0,"219","51","1",1,"39",3,11,2,"263","14","13",1,"45",10,"89",2,"94",7,"17",3,"180","31","10"
"1152","Staffordshire","2016","january",2016-01-01,1,0,"238","53","23",10,"24",7,4,0,"143","17","9",2,"64",13,"83",3,"83",8,"10",2,"213","45","16"
"1153","Suffolk","2016","january",2016-01-01,1,0,"117","18","6",3,"8",3,0,1,"75","2","8",2,"23",4,"37",2,"41",3,"7",0,"100","5","7"
"1154","Surrey","2016","january",2016-01-01,0,0,"160","30","17",7,"12",0,3,4,"62","10","10",3,"18",2,"36",2,"18",3,"2",0,"105","10","8"
"1155","Sussex","2016","january",2016-01-01,1,0,"265","55","39",18,"23",10,9,4,"169","8","19",0,"44",10,"86",9,"72",12,"10",4,"200","18","20"
"1156","Thames Valley","2016","january",2016-01-01,3,1,"482","193","44",18,"56",17,14,6,"358","36","28",7,"72",15,"197",22,"114",31,"28",4,"310","55","23"
"1157","Warwickshire","2016","january",2016-01-01,1,1,"65","14","6",3,"10",1,0,0,"50","5","5",0,"7",3,"20",0,"32",4,"7",1,"98","25","5"
"1158","West Mercia","2016","january",2016-01-01,1,0,"231","59","18",9,"28",6,3,0,"126","2","13",4,"38",4,"65",3,"74",11,"12",1,"248","54","12"
"1159","West Midlands","2016","january",2016-01-01,7,4,"727","175","66",22,"68",9,44,10,"632","56","102",15,"132",16,"283",23,"278",57,"80",13,"349","66","83"
"1160","West Yorkshire","2016","january",2016-01-01,5,3,"472","127","48",18,"72",6,18,3,"313","36","40",3,"98",19,"135",13,"121",19,"19",2,"287","49","33"
"1161","Wiltshire","2016","january",2016-01-01,1,0,"113","22","10",3,"7",0,3,0,"81","9","13",1,"19",2,"27",0,"30",3,"4",2,"92","2","4"
"990","National","2016","april",2016-04-01,125,25,"11,455","3,097","1,149",447,"1,278",256,359,86,"8,346","690","1,075",180,"1,925",370,"4,383",271,"3,458",638,"787",145,"7,598","1,412","740"
"991","Avon and Somerset","2016","april",2016-04-01,2,1,"275","63","37",16,"25",1,12,2,"200","17","34",7,"63",13,"97",1,"70",7,"11",0,"196","29","15"
"992","Bedfordshire","2016","april",2016-04-01,0,0,"89","26","12",0,"10",1,6,0,"71","3","10",2,"13",3,"29",3,"15",3,"7",1,"92","29","13"
"993","Cambridgeshire","2016","april",2016-04-01,2,0,"151","34","17",5,"19",2,5,1,"120","12","9",2,"23",8,"30",1,"34",6,"14",4,"109","15","16"
"994","Cheshire","2016","april",2016-04-01,1,1,"280","46","27",8,"26",1,6,0,"174","10","26",0,"37",5,"116",2,"111",12,"13",0,"156","24","11"
"995","Cleveland","2016","april",2016-04-01,1,0,"121","39","6",0,"29",7,2,0,"238","10","8",2,"38",5,"54",14,"60",10,"6",0,"79","11","3"
"996","Cumbria","2016","april",2016-04-01,0,0,"116","19","6",0,"6",0,1,0,"73","8","6",2,"28",2,"39",2,"42",2,"12",0,"81","8","2"
"997","Derbyshire","2016","april",2016-04-01,0,0,"242","47","3",0,"14",5,9,4,"170","27","21",1,"61",9,"56",4,"58",9,"24",0,"112","13","6"
"998","Devon and Cornwall","2016","april",2016-04-01,4,1,"267","56","18",2,"28",1,3,4,"102","5","19",4,"30",5,"73",1,"51",10,"9",5,"204","37","16"
"999","Dorset","2016","april",2016-04-01,1,0,"142","20","11",1,"12",2,0,0,"103","4","9",1,"26",1,"54",1,"49",8,"10",1,"97","8","10"
"1000","Durham","2016","april",2016-04-01,0,0,"144","21","4",0,"23",5,2,1,"117","9","6",3,"30",4,"29",0,"34",6,"12",1,"101","4","5"
"1001","Dyfed Powys","2016","april",2016-04-01,2,0,"67","16","7",6,"5",1,2,0,"42","2","3",0,"12",1,"48",2,"33",2,"4",3,"80","23","6"
"1002","Essex","2016","april",2016-04-01,6,2,"346","101","48",15,"25",4,9,1,"188","18","27",9,"62",7,"91",7,"70",20,"20",5,"204","39","14"
"1003","Gloucestershire","2016","april",2016-04-01,3,0,"79","22","4",0,"13",2,1,0,"70","5","6",1,"13",4,"26",0,"12",3,"2",0,"65","6","8"
"1004","GreaterManchester","2016","april",2016-04-01,5,1,"604","156","112",42,"61",10,16,2,"318","12","34",1,"91",16,"152",6,"160",18,"48",15,"387","54","30"
"1005","Gwent","2016","april",2016-04-01,0,0,"122","18","11",3,"13",0,3,1,"97","6","5",2,"21",5,"58",1,"25",4,"5",0,"84","14","5"
"1006","Hampshire","2016","april",2016-04-01,4,0,"269","38","41",7,"34",2,6,0,"176","15","17",6,"39",7,"85",3,"61",11,"16",4,"213","22","14"
"1007","Hertfordshire","2016","april",2016-04-01,1,1,"221","65","17",2,"21",7,5,0,"220","13","39",3,"36",12,"71",4,"53",14,"11",3,"157","33","11"
"1008","Humberside","2016","april",2016-04-01,3,0,"152","28","28",11,"29",7,10,0,"184","9","11",2,"47",7,"61",4,"74",5,"16",10,"121","9","6"
"1009","Kent","2016","april",2016-04-01,11,0,"244","61","22",14,"44",3,10,5,"157","19","39",12,"31",5,"63",4,"53",4,"10",3,"170","31","23"
"1010","Lancashire","2016","april",2016-04-01,3,2,"330","87","24",2,"42",8,11,4,"271","18","34",2,"63",17,"100",5,"135",16,"27",1,"283","48","13"
"1011","Leicestershire","2016","april",2016-04-01,6,2,"173","49","25",8,"22",7,5,2,"90","9","15",1,"33",2,"37",6,"52",10,"12",0,"147","20","5"
"1012","Lincolnshire","2016","april",2016-04-01,0,0,"166","33","5",0,"22",1,3,0,"102","9","9",2,"24",3,"37",2,"46",6,"6",3,"124","42","6"
"1013","Merseyside","2016","april",2016-04-01,2,0,"356","72","46",15,"24",5,10,0,"236","13","25",2,"49",10,"189",4,"120",19,"13",2,"219","33","17"
"1014","Metropolitan and City","2016","april",2016-04-01,20,5,"1,814","739","161",72,"240",61,83,23,"1,119","173","260",50,"267",63,"1,166",97,"530",152,"152",35,"1,009","349","211"
"1015","Norfolk","2016","april",2016-04-01,0,1,"193","44","13",2,"14",3,6,2,"121","11","12",0,"48",2,"52",4,"69",19,"11",0,"111","16","13"
"1016","Northamptonshire","2016","april",2016-04-01,1,0,"125","41","6",1,"17",4,6,0,"75","6","12",2,"26",6,"35",1,"33",4,"5",0,"95","25","11"
"1017","Northumbria","2016","april",2016-04-01,4,0,"339","128","57",25,"54",8,12,0,"331","28","31",3,"62",21,"96",7,"146",52,"15",6,"243","40","7"
"1018","North Wales","2016","april",2016-04-01,1,0,"173","36","14",4,"10",5,2,0,"128","1","10",2,"35",7,"48",2,"47",14,"7",0,"81","15","3"
"1019","North Yorkshire","2016","april",2016-04-01,1,0,"116","30","7",1,"10",8,8,0,"108","8","7",2,"23",3,"51",4,"44",5,"9",0,"107","7","6"
"1020","Nottinghamshire","2016","april",2016-04-01,2,0,"258","97","36",15,"30",5,7,7,"262","15","25",4,"46",15,"98",3,"90",16,"25",2,"139","28","11"
"1021","South Wales","2016","april",2016-04-01,5,3,"397","127","27",14,"51",13,5,1,"294","14","17",1,"50",7,"204",3,"137",20,"19",2,"299","79","5"
"1022","South Yorkshire","2016","april",2016-04-01,1,0,"197","68","3",0,"25",10,8,4,"289","12","11",4,"55",15,"88",5,"87",14,"26",0,"171","17","14"
"1023","Staffordshire","2016","april",2016-04-01,4,1,"221","48","24",6,"16",3,5,1,"157","10","14",0,"50",14,"61",4,"67",4,"15",1,"164","49","9"
"1024","Suffolk","2016","april",2016-04-01,0,0,"119","20","7",1,"9",0,1,0,"81","5","8",2,"19",5,"41",0,"39",6,"4",0,"77","5","11"
"1025","Surrey","2016","april",2016-04-01,0,0,"149","35","9",13,"7",1,6,1,"59","9","8",1,"19",5,"42",1,"24",8,"6",0,"122","6","13"
"1026","Sussex","2016","april",2016-04-01,1,0,"278","63","25",21,"27",3,3,3,"205","15","20",3,"30",8,"83",2,"53",18,"16",3,"180","21","16"
"1027","Thames Valley","2016","april",2016-04-01,2,1,"421","140","54",29,"44",4,5,1,"292","30","45",8,"52",11,"141",2,"114",28,"25",5,"276","31","17"
"1028","Warwickshire","2016","april",2016-04-01,1,1,"81","14","8",2,"8",1,3,0,"53","5","7",2,"9",2,"21",4,"19",1,"5",2,"95","20","4"
"1029","West Mercia","2016","april",2016-04-01,0,0,"173","50","35",13,"16",3,1,5,"180","10","23",4,"35",3,"64",5,"68",4,"22",2,"200","32","8"
"1030","West Midlands","2016","april",2016-04-01,14,1,"810","174","76",55,"93",29,40,9,"659","58","109",17,"109",16,"259",16,"316",47,"82",15,"395","66","88"
"1031","West Yorkshire","2016","april",2016-04-01,11,1,"509","116","43",12,"48",13,19,2,"338","20","33",6,"95",14,"199",30,"127",20,"25",11,"282","49","33"
"1032","Wiltshire","2016","april",2016-04-01,0,0,"126","10","13",4,"12",0,2,0,"76","7","11",2,"25",2,"39",4,"30",1,"10",0,"71","5","5"
"1248","National","2016","may",2016-05-01,131,27,"10,276","2,892","1,057",415,"1,193",194,374,90,"7,831","701","915",142,"1,913",344,"4,000",265,"3,400",612,"752",107,"7,371","1,320","720"
"1249","Avon and Somerset","2016","may",2016-05-01,2,1,"254","71","48",15,"37",2,10,0,"188","14","25",1,"52",10,"71",3,"59",14,"10",2,"160","14","24"
"1250","Bedfordshire","2016","may",2016-05-01,1,0,"83","20","7",5,"5",3,4,0,"62","8","5",2,"11",2,"23",2,"31",3,"3",0,"86","28","10"
"1251","Cambridgeshire","2016","may",2016-05-01,1,0,"103","33","11",3,"7",0,0,0,"71","5","7",1,"18",6,"35",0,"28",3,"12",0,"80","6","12"
"1252","Cheshire","2016","may",2016-05-01,2,0,"254","55","22",10,"24",1,7,3,"155","10","14",0,"35",5,"89",6,"83",16,"13",1,"176","20","11"
"1253","Cleveland","2016","may",2016-05-01,0,0,"127","28","4",0,"39",2,4,0,"203","22","10",3,"23",9,"46",7,"46",10,"6",0,"65","13","11"
"1254","Cumbria","2016","may",2016-05-01,0,0,"103","14","6",0,"8",1,5,0,"101","3","1",0,"27",2,"37",0,"36",5,"8",0,"76","10","2"
"1255","Derbyshire","2016","may",2016-05-01,1,0,"188","46","6",0,"9",5,8,1,"135","28","12",3,"57",7,"72",3,"54",8,"16",3,"115","27","16"
"1256","Devon and Cornwall","2016","may",2016-05-01,5,0,"199","49","24",0,"18",3,4,3,"98","7","18",2,"36",2,"59",5,"64",6,"5",2,"187","28","12"
"1257","Dorset","2016","may",2016-05-01,1,0,"136","20","7",1,"12",2,0,0,"103","6","5",4,"23",2,"49",3,"45",3,"6",1,"81","9","14"
"1258","Durham","2016","may",2016-05-01,0,0,"102","14","5",0,"23",2,1,0,"104","6","8",1,"35",6,"19",1,"44",6,"7",6,"113","2","3"
"1259","Dyfed Powys","2016","may",2016-05-01,1,0,"62","12","5",7,"4",0,0,0,"34","2","10",1,"7",6,"63",7,"20",2,"6",0,"93","23","1"
"1260","Essex","2016","may",2016-05-01,5,4,"246","84","40",16,"33",11,6,1,"172","28","20",3,"55",12,"75",3,"73",8,"12",0,"184","27","15"
"1261","Gloucestershire","2016","may",2016-05-01,1,0,"88","14","4",1,"10",0,0,0,"57","0","6",0,"17",1,"19",0,"15",4,"1",0,"57","7","9"
"1262","GreaterManchester","2016","may",2016-05-01,4,3,"590","136","97",47,"61",4,19,4,"321","22","38",9,"95",16,"140",9,"182",20,"34",7,"314","63","22"
"1263","Gwent","2016","may",2016-05-01,0,0,"75","22","9",0,"8",0,1,0,"73","5","2",0,"23",7,"45",1,"21",5,"6",3,"89","4","6"
"1264","Hampshire","2016","may",2016-05-01,3,1,"250","45","36",10,"30",3,6,2,"203","8","23",4,"35",7,"65",5,"59",6,"21",3,"223","26","9"
"1265","Hertfordshire","2016","may",2016-05-01,1,0,"172","42","9",3,"21",0,3,3,"155","20","34",0,"21",5,"72",1,"31",6,"18",0,"131","29","3"
"1266","Humberside","2016","may",2016-05-01,0,0,"150","31","28",16,"37",5,5,2,"179","12","9",1,"38",7,"48",4,"89",10,"9",2,"99","23","6"
"1267","Kent","2016","may",2016-05-01,7,1,"247","65","23",13,"38",3,13,2,"154","12","25",5,"29",7,"93",5,"62",5,"25",5,"195","26","14"
"1268","Lancashire","2016","may",2016-05-01,6,2,"255","67","28",7,"33",4,6,3,"257","11","20",2,"62",13,"86",6,"149",14,"29",6,"249","45","5"
"1269","Leicestershire","2016","may",2016-05-01,6,1,"148","26","32",15,"18",3,1,1,"113","9","8",2,"33",5,"39",2,"34",8,"7",4,"123","22","13"
"1270","Lincolnshire","2016","may",2016-05-01,1,0,"160","32","4",0,"20",0,0,1,"136","11","5",3,"26",5,"28",4,"48",10,"14",8,"131","24","9"
"1271","Merseyside","2016","may",2016-05-01,3,0,"301","61","26",10,"18",2,14,1,"192","10","14",2,"42",13,"186",15,"87",10,"18",0,"203","22","18"
"1272","Metropolitan and City","2016","may",2016-05-01,27,7,"1,704","714","129",79,"188",50,96,22,"1,027","179","242",41,"248",60,"1,082",101,"502",163,"150",27,"1,081","350","223"
"1273","Norfolk","2016","may",2016-05-01,5,0,"192","44","9",1,"14",0,0,2,"110","12","4",5,"36",6,"41",0,"63",14,"9",0,"87","4","9"
"1274","Northamptonshire","2016","may",2016-05-01,0,0,"134","41","3",0,"6",2,7,2,"92","9","11",2,"17",11,"37",1,"26",12,"6",0,"108","16","13"
"1275","Northumbria","2016","may",2016-05-01,1,0,"296","89","48",25,"34",14,5,5,"384","44","31",2,"85",19,"93",4,"190",20,"31",4,"235","52","11"
"1276","North Wales","2016","may",2016-05-01,0,0,"158","36","20",9,"14",0,1,0,"116","3","9",2,"39",2,"34",0,"47",7,"6",1,"110","18","3"
"1277","North Yorkshire","2016","may",2016-05-01,2,2,"124","29","8",1,"16",3,5,0,"126","13","13",4,"26",4,"36",1,"64",3,"10",1,"110","9","8"
"1278","Nottinghamshire","2016","may",2016-05-01,6,1,"281","84","28",9,"34",4,6,1,"234","25","14",3,"44",10,"107",5,"85",20,"13",3,"161","25","12"
"1279","South Wales","2016","may",2016-05-01,2,1,"334","118","16",14,"30",11,5,3,"241","14","30",2,"75",6,"134",4,"120",14,"15",1,"260","57","9"
"1280","South Yorkshire","2016","may",2016-05-01,4,0,"202","49","8",2,"34",3,10,0,"255","14","16",3,"64",12,"97",5,"95",11,"15",0,"163","19","21"
"1281","Staffordshire","2016","may",2016-05-01,1,0,"216","62","18",3,"14",1,3,2,"146","11","11",1,"58",7,"72",2,"72",8,"20",1,"172","37","17"
"1282","Suffolk","2016","may",2016-05-01,0,0,"117","16","5",3,"12",1,7,2,"62","7","1",1,"30",0,"36",0,"32",2,"4",0,"98","4","9"
"1283","Surrey","2016","may",2016-05-01,0,0,"127","30","7",4,"16",1,3,1,"72","2","10",0,"24",3,"38",2,"40",12,"12",1,"108","8","7"
"1284","Sussex","2016","may",2016-05-01,0,0,"239","47","24",15,"41",3,8,1,"165","11","21",2,"37",2,"67",4,"63",9,"10",1,"177","12","14"
"1285","Thames Valley","2016","may",2016-05-01,8,1,"396","142","45",21,"50",10,17,2,"303","28","32",4,"54",8,"149",9,"115",30,"37",2,"242","49","30"
"1286","Warwickshire","2016","may",2016-05-01,6,0,"91","16","10",2,"13",1,1,1,"59","5","7",3,"12",3,"12",0,"14",4,"1",0,"81","20","7"
"1287","West Mercia","2016","may",2016-05-01,2,0,"200","55","31",5,"21",7,3,1,"164","9","15",3,"38",6,"71",6,"66",7,"12",2,"191","28","8"
"1288","West Midlands","2016","may",2016-05-01,10,2,"627","174","74",23,"56",14,44,16,"607","33","85",10,"90",16,"246",11,"263",67,"61",9,"358","60","54"
"1289","West Yorkshire","2016","may",2016-05-01,6,0,"446","138","83",19,"78",12,30,2,"329","17","38",5,"113",14,"167",18,"163",20,"44",1,"333","48","18"
"1290","Wiltshire","2016","may",2016-05-01,0,0,"99","21","10",1,"9",1,6,0,"73","6","6",0,"23",0,"22",0,"20",7,"10",0,"66","6","2"
"1205","National","2016","june",2016-06-01,112,21,"11,080","3,080","1,091",380,"1,152",224,398,86,"7,790","688","939",137,"2,061",343,"4,173",284,"3,508",659,"793",129,"7,729","1,381","770"
"1206","Avon and Somerset","2016","june",2016-06-01,3,0,"301","65","61",20,"27",5,4,3,"240","19","11",1,"56",9,"111",15,"75",14,"9",1,"203","28","21"
"1207","Bedfordshire","2016","june",2016-06-01,4,0,"99","27","3",2,"12",0,12,1,"71","4","7",1,"23",6,"38",2,"23",7,"5",1,"94","25","8"
"1208","Cambridgeshire","2016","june",2016-06-01,0,0,"158","45","16",0,"8",0,13,1,"99","2","10",1,"39",8,"28",2,"34",6,"11",4,"98","8","17"
"1209","Cheshire","2016","june",2016-06-01,1,0,"258","52","23",0,"15",3,5,4,"169","5","14",0,"39",7,"85",2,"100",11,"10",2,"191","22","12"
"1210","Cleveland","2016","june",2016-06-01,7,0,"126","35","9",2,"26",4,29,6,"228","13","11",3,"31",5,"67",4,"43",13,"12",1,"89","7","8"
"1211","Cumbria","2016","june",2016-06-01,0,0,"125","26","4",0,"17",4,0,0,"87","6","10",1,"26",3,"37",3,"57",5,"9",1,"83","10","3"
"1212","Derbyshire","2016","june",2016-06-01,1,0,"216","37","5",0,"17",0,9,4,"130","18","9",8,"40",10,"51",4,"85",9,"22",5,"143","26","19"
"1213","Devon and Cornwall","2016","june",2016-06-01,7,0,"234","52","17",6,"16",6,6,0,"108","10","14",2,"43",4,"63",2,"59",13,"5",0,"208","35","19"
"1214","Dorset","2016","june",2016-06-01,1,1,"145","21","6",3,"12",1,2,2,"92","4","10",1,"26",0,"47",0,"33",3,"7",0,"89","9","11"
"1215","Durham","2016","june",2016-06-01,0,0,"112","30","7",0,"20",4,4,0,"134","12","11",0,"32",1,"15",0,"30",16,"4",1,"95","10","2"
"1216","Dyfed Powys","2016","june",2016-06-01,0,1,"75","17","9",3,"8",3,2,0,"30","2","12",2,"18",1,"62",3,"27",2,"6",0,"93","23","2"
"1217","Essex","2016","june",2016-06-01,2,0,"334","101","37",15,"31",7,6,4,"187","25","18",1,"70",8,"73",6,"53",10,"17",4,"226","30","21"
"1218","Gloucestershire","2016","june",2016-06-01,2,0,"86","18","9",1,"21",1,1,1,"50","4","5",1,"11",5,"25",0,"21",0,"6",0,"63","4","7"
"1219","GreaterManchester","2016","june",2016-06-01,4,1,"574","168","87",25,"88",13,22,4,"271","12","23",5,"88",15,"102",8,"153",25,"37",3,"345","69","32"
"1220","Gwent","2016","june",2016-06-01,0,0,"101","24","11",4,"11",6,1,1,"77","6","15",0,"30",5,"47",3,"30",6,"5",0,"92","21","8"
"1221","Hampshire","2016","june",2016-06-01,2,0,"288","53","38",5,"29",2,7,1,"165","14","33",4,"42",4,"86",5,"68",6,"18",2,"244","30","14"
"1222","Hertfordshire","2016","june",2016-06-01,2,0,"171","45","7",1,"16",2,5,2,"159","15","40",3,"29",8,"84",8,"45",6,"9",2,"123","25","15"
"1223","Humberside","2016","june",2016-06-01,1,0,"175","29","30",12,"22",5,8,1,"151","5","7",4,"55",4,"57",2,"66",7,"13",2,"119","17","12"
"1224","Kent","2016","june",2016-06-01,3,1,"250","64","25",11,"31",4,6,0,"157","15","42",4,"44",10,"105",8,"47",13,"15",4,"212","21","29"
"1225","Lancashire","2016","june",2016-06-01,2,1,"311","82","26",0,"39",11,13,2,"233","16","17",4,"53",6,"107",5,"130",17,"25",6,"240","44","4"
"1226","Leicestershire","2016","june",2016-06-01,1,0,"136","25","21",9,"8",2,2,0,"88","3","15",0,"27",4,"27",0,"39",4,"8",2,"118","17","10"
"1227","Lincolnshire","2016","june",2016-06-01,1,0,"112","37","9",0,"17",5,6,1,"112","7","7",0,"43",2,"38",2,"56",9,"18",8,"155","30","6"
"1228","Merseyside","2016","june",2016-06-01,3,0,"345","75","38",18,"34",3,8,1,"182","10","23",2,"67",6,"205",17,"99",8,"26",3,"194","26","20"
"1229","Metropolitan and City","2016","june",2016-06-01,26,8,"1,827","775","169",84,"205",45,84,21,"1,087","189","263",49,"265",67,"1,156",106,"494",194,"135",31,"1,010","308","221"
"1230","Norfolk","2016","june",2016-06-01,0,1,"186","38","11",0,"17",3,0,1,"136","9","8",0,"44",6,"38",2,"70",8,"11",0,"120","5","13"
"1231","Northamptonshire","2016","june",2016-06-01,3,0,"115","37","4",0,"7",2,1,1,"89","8","6",1,"24",1,"35",1,"30",8,"11",1,"128","18","17"
"1232","Northumbria","2016","june",2016-06-01,1,1,"337","134","55",19,"49",12,9,5,"355","47","23",3,"81",28,"89",8,"192",45,"22",5,"254","50","6"
"1233","North Wales","2016","june",2016-06-01,0,0,"150","33","22",2,"26",0,2,0,"110","9","7",0,"29",5,"47",3,"94",8,"10",1,"134","20","2"
"1234","North Yorkshire","2016","june",2016-06-01,0,0,"118","25","5",1,"15",1,1,0,"135","7","8",1,"31",0,"39",4,"40",4,"9",2,"134","7","6"
"1235","Nottinghamshire","2016","june",2016-06-01,1,0,"280","69","33",12,"19",9,17,3,"266","27","15",4,"51",14,"109",6,"87",16,"18",2,"165","33","20"
"1236","South Wales","2016","june",2016-06-01,3,0,"356","124","26",10,"25",6,11,0,"223","14","30",4,"66",9,"112",5,"126",13,"21",2,"216","75","12"
"1237","South Yorkshire","2016","june",2016-06-01,3,0,"222","54","10",2,"20",4,1,1,"250","19","13",0,"60",6,"98",6,"102",9,"26",1,"175","25","10"
"1238","Staffordshire","2016","june",2016-06-01,3,0,"227","65","28",4,"14",4,5,1,"147","12","11",1,"54",10,"88",2,"74",7,"23",3,"172","44","8"
"1239","Suffolk","2016","june",2016-06-01,0,0,"128","16","2",1,"14",1,2,0,"54","3","8",0,"27",3,"34",0,"33",3,"7",1,"108","4","6"
"1240","Surrey","2016","june",2016-06-01,0,0,"159","43","5",9,"17",4,2,0,"47","4","8",1,"17",5,"32",2,"29",1,"11",3,"102","16","15"
"1241","Sussex","2016","june",2016-06-01,0,0,"230","46","33",17,"26",9,8,3,"147","11","12",0,"41",9,"58",5,"71",8,"26",0,"192","12","13"
"1242","Thames Valley","2016","june",2016-06-01,5,1,"369","108","40",21,"14",9,14,1,"227","25","30",6,"53",14,"105",2,"92",25,"24",2,"254","32","20"
"1243","Warwickshire","2016","june",2016-06-01,4,0,"83","19","9",1,"10",1,1,1,"78","2","4",1,"11",2,"16",0,"23",3,"2",0,"106","36","6"
"1244","West Mercia","2016","june",2016-06-01,2,0,"220","31","22",6,"19",3,8,0,"148","9","21",0,"30",5,"59",6,"57",7,"16",0,"221","32","6"
"1245","West Midlands","2016","june",2016-06-01,10,5,"773","201","62",33,"61",14,37,8,"683","42","72",12,"112",13,"294",14,"317",62,"71",17,"401","76","57"
"1246","West Yorkshire","2016","june",2016-06-01,2,0,"452","114","47",17,"61",6,20,1,"296","17","28",5,"112",10,"175",10,"168",27,"43",1,"243","41","28"
"1247","Wiltshire","2016","june",2016-06-01,2,0,"116","20","10",4,"8",0,4,0,"92","7","8",1,"21",5,"29",1,"36",1,"10",5,"77","10","4"
"1162","National","2016","july",2016-07-01,101,35,"10,394","3,087","1,084",363,"1,159",191,348,103,"7,156","637","961",179,"1,831",337,"4,123",260,"3,245",634,"697",128,"7,150","1,317","803"
"1163","Avon and Somerset","2016","july",2016-07-01,3,6,"305","89","48",10,"35",3,7,1,"186","13","13",3,"51",7,"98",2,"73",10,"8",2,"203","32","35"
"1164","Bedfordshire","2016","july",2016-07-01,3,2,"83","16","7",2,"22",1,3,1,"41","7","6",0,"16",0,"31",2,"16",5,"4",2,"76","19","10"
"1165","Cambridgeshire","2016","july",2016-07-01,0,0,"138","26","10",2,"15",2,4,1,"85","3","3",0,"29",4,"36",1,"28",4,"7",0,"84","11","11"
"1166","Cheshire","2016","july",2016-07-01,2,0,"275","51","21",8,"14",5,1,2,"151","8","15",0,"40",6,"101",2,"95",9,"14",2,"201","18","6"
"1167","Cleveland","2016","july",2016-07-01,1,0,"148","43","11",1,"39",4,5,4,"210","15","11",0,"40",11,"75",3,"46",13,"14",5,"85","3","6"
"1168","Cumbria","2016","july",2016-07-01,0,0,"96","26","5",1,"9",1,1,0,"64","6","7",1,"25",7,"34",3,"25",3,"4",0,"74","7","3"
"1169","Derbyshire","2016","july",2016-07-01,0,0,"178","40","4",0,"14",3,7,0,"117","10","12",0,"45",9,"48",7,"49",10,"12",3,"116","24","22"
"1170","Devon and Cornwall","2016","july",2016-07-01,2,1,"221","58","16",2,"20",2,4,1,"112","5","18",6,"37",3,"52",0,"51",10,"5",0,"189","27","9"
"1171","Dorset","2016","july",2016-07-01,1,0,"130","19","10",3,"9",3,0,0,"77","3","8",0,"24",2,"42",1,"48",8,"6",0,"66","10","9"
"1172","Durham","2016","july",2016-07-01,0,1,"104","23","6",1,"15",1,3,1,"87","5","12",1,"21",5,"18",0,"23",8,"11",0,"104","6","7"
"1173","Dyfed Powys","2016","july",2016-07-01,0,1,"65","12","5",3,"4",0,0,0,"31","2","3",3,"15",0,"36",0,"34",2,"2",1,"77","15","6"
"1174","Essex","2016","july",2016-07-01,7,0,"303","72","45",14,"31",5,11,6,"157","18","26",5,"41",10,"77",4,"54",9,"10",4,"195","43","28"
"1175","Gloucestershire","2016","july",2016-07-01,1,0,"86","18","1",0,"16",2,4,0,"48","3","9",0,"12",1,"35",0,"25",11,"2",0,"57","3","4"
"1176","GreaterManchester","2016","july",2016-07-01,3,0,"566","127","92",35,"58",6,19,7,"248","16","41",7,"80",5,"127",19,"162",15,"52",3,"325","91","31"
"1177","Gwent","2016","july",2016-07-01,1,0,"81","17","7",4,"10",1,5,0,"79","6","6",0,"18",5,"33",2,"35",1,"3",1,"92","10","1"
"1178","Hampshire","2016","july",2016-07-01,2,0,"270","38","30",9,"31",5,6,0,"176","10","33",6,"43",6,"65",3,"63",11,"14",1,"190","16","13"
"1179","Hertfordshire","2016","july",2016-07-01,1,1,"181","32","15",2,"22",0,2,2,"145","17","31",2,"34",2,"80",2,"40",11,"8",1,"133","27","12"
"1180","Humberside","2016","july",2016-07-01,1,0,"160","31","28",12,"32",9,6,3,"140","3","7",0,"48",7,"51",2,"63",5,"9",1,"115","10","9"
"1181","Kent","2016","july",2016-07-01,8,0,"266","67","20",9,"32",4,8,0,"172","14","39",6,"40",8,"90",8,"45",7,"28",12,"165","23","23"
"1182","Lancashire","2016","july",2016-07-01,2,0,"230","87","18",1,"40",6,12,3,"186","14","30",3,"53",9,"76",8,"99",12,"18",7,"201","47","6"
"1183","Leicestershire","2016","july",2016-07-01,1,0,"135","34","26",8,"19",0,2,0,"104","5","11",2,"31",5,"36",1,"55",6,"8",3,"119","14","7"
"1184","Lincolnshire","2016","july",2016-07-01,0,0,"136","41","4",0,"12",0,2,4,"97","10","9",2,"31",5,"37",1,"52",14,"18",9,"134","36","12"
